method,min,max,avg,sum,last,integral
resourcemanager.v1.transitional.FolderService/List,0.5731300790560961,2.067064711392376,1.2145678058743603,604.8547673254315,1.2213909744304332,3238769.53345781
resourcemanager.v1.transitional.CloudService/List,NaN,NaN,NaN,0,NaN,0
resourcemanager.v1.console.FolderService/GetSettings,0.06884406765625324,0.7480068525764455,0.25397640926405063,126.4802518134972,0.24754944482472002,676707.7670385945
resourcemanager.v1.console.CloudService/ListOwners,0.06720079498167814,0.6301347742376259,0.25489075537506767,126.9355961767837,0.24565529211607487,679241.0307919092
resourcemanager.v1.console.CloudService/List,0,0.018941887667432666,0.0010606669317692109,0.35956608986976246,0.0034082852581143893,1929.791204331014
resourcemanager.v1.console.CloudService/GetTree,0.09524667204935494,2.6220157589328323,0.9226749037825475,459.49210208370863,1.7461054449189164,2456069.842438819
resourcemanager.v1.console.CloudService/GetSettings,0.22750346769351962,2.5859049713879005,1.0736278691529448,534.6666788381665,1.7626129482078328,2858464.7653244403
resourcemanager.v1.console.CloudService/GetMembershipInfo,0.22066605289401217,5.972195783705288,2.001319097387484,996.656910498967,3.8857417377018897,5328489.641425737
resourcemanager.v1.console.CloudService/Get,0,0.00011153551539241869,0.0000010898392230917585,0.0003803538888590237,0,2.04135932150638
resourcemanager.v1.QuotaLimitService/Get,0.033706498561165955,0.14616224665134678,0.10009463047483295,49.84712597646681,0.10110638412970713,266974.9917823644
resourcemanager.v1.OperationService/Get,1.1897682338571105,106.10587122971982,12.301893252710096,6126.342839849628,12.336560061056705,32795279.282584082
resourcemanager.v1.FolderService/ListRestrictions,0,0.000022522660868105234,8.250058926045874e-8,0.000022522660868105234,0,0.1208791208791208
resourcemanager.v1.FolderService/ListOperations,0.0016479307703466267,0.46484979620069833,0.1536453644190983,76.51539148071095,0.10168243289350386,409610.69774364214
resourcemanager.v1.FolderService/ListAccessBindings,2.9443480249065206,15.158079220771285,6.674193642999582,3323.748434213792,7.3561593917998795,17763032.42142541
resourcemanager.v1.FolderService/List,10.268583731859323,39.03608368010267,18.909716384714635,9417.038759587887,28.843111738206474,50423442.89770823
resourcemanager.v1.FolderService/GetRestriction,0,0.0000034504413114437284,1.263897916279754e-8,0.0000034504413114437284,0,0.01851851851851849
resourcemanager.v1.FolderService/Get,56.87792373144527,571.2055361468234,206.35031098061236,102762.45486834495,149.90476302002688,550636906.1922967
resourcemanager.v1.CloudService/ListUsers,NaN,NaN,NaN,0,NaN,0
resourcemanager.v1.CloudService/ListOperations,0.00010454837173679125,0.2512944330579881,0.030495409491344314,15.186713926689468,0.07254644788882007,81429.99642232023
resourcemanager.v1.CloudService/ListCreators,NaN,NaN,NaN,0,NaN,0
resourcemanager.v1.CloudService/ListAccessBindings,0.7289935407738658,2.8173474772898537,1.7141889765568634,853.666110325318,1.9575274956786628,4570425.114115978
resourcemanager.v1.CloudService/List,2.3188714986646923,7.547502225534689,4.458910717455063,2220.5375372926214,4.701305930002855,11892988.00153838
resourcemanager.v1.CloudService/GetRestriction,0,0.0000017577719888486944,5.326581784389983e-8,0.0000017577719888486944,0,0.009433962264150943
resourcemanager.v1.CloudService/GetPermissionStages,128.0799603544296,430.1588025519114,328.17556376291435,163431.43075393134,329.0780598472859,875191985.2507937
resourcemanager.v1.CloudService/Get,69.48563702047488,585.489704553309,249.7658514881852,124383.39404111623,169.1953344472075,666478635.0103378
quotamanager.v1.QuotaRequestService/ListOperations,0,0.0000476160900979235,7.257824827519576e-7,0.00006314307599942031,0,0.3388888888888888
quotamanager.v1.QuotaRequestService/List,0.0010144906357052775,0.17742715205039425,0.024519288849266296,12.210605846934616,0.06611033581186213,65261.90769160917
quotamanager.v1.QuotaRequestService/Get,0,0.0013260045959878268,0.000050463609093754696,0.024979486501408573,0.0007873036432658488,133.93990405305973
quotamanager.v1.QuotaLimitService/ListServices,0.0070062936049520765,0.10232821515301956,0.08052425783266251,40.10108040066593,0.08656844512047068,214784.80406592958
quotamanager.v1.QuotaLimitService/List,0.3713779682421377,4.966460669537507,4.1471538383338675,2065.282611490266,4.166969422564768,11062710.582717126
quotamanager.v1.QuotaLimitService/Get,0.006313790033745315,0.021082555077215456,0.01946306228820576,9.69260501952647,0.017432304437975752,51912.2416953542
quotamanager.v1.OperationService/Get,0,0.4662469204811297,0.030551064712260115,15.214430226705538,0.07256803709734312,81323.09424895082
